,character,role,movie,line,line_sw,line_sw_stem
7276,steve rogers,hero,avengers: age of ultron,two minutes stay close dr cho,two minutes stay close dr cho,two minut stay close dr cho
7278,steve rogers,hero,avengers: age of ultron,where,,
7280,steve rogers,hero,avengers: age of ultron,first i have to find it,first find,first find
7282,steve rogers,hero,avengers: age of ultron,did you guys copy that,guys copy,guy copi
7283,clint barton,hero,avengers: age of ultron,we did,,
7284,natasha romanoff,hero,avengers: age of ultron,i got a private jet taking off across town no manifest that could be him,got private jet taking across town manifest could,got privat jet take across town manifest could
7285,clint barton,hero,avengers: age of ultron,there it's the truck from the lab right above you cap on the loop by the bridge it's them i got three with the cradle one in the cab i could take out the driver,truck lab right cap loop bridge got three cradle one cab could take driver,truck lab right cap loop bridg got three cradl one cab could take driver
7286,steve rogers,hero,avengers: age of ultron,negative if that truck crashes the gem could level the city we need to draw out ultron,negative truck crashes gem could level city need draw ultron,neg truck crash gem could level citi need draw ultron
7287,ultron,villain,avengers: age of ultron,no no no no no leave me alone,leave alone,leav alon
7288,steve rogers,hero,avengers: age of ultron,well he's definitely unhappy i'm gonna try and keep him that way,well he's definitely unhappy i'm gonna try keep way,well he' definit unhappi i'm gonna tri keep way
7289,clint barton,hero,avengers: age of ultron,you're not a match for him cap,match cap,match cap
7290,steve rogers,hero,avengers: age of ultron,thanks barton,thanks barton,thank barton
7291,ultron,villain,avengers: age of ultron,you know what's in that cradle the power to make real change and that terrifies you,know what's cradle power make real change terrifies,know what' cradl power make real chang terrifi
7292,steve rogers,hero,avengers: age of ultron,i wouldn't call it a comfort,call comfort,call comfort
7293,ultron,villain,avengers: age of ultron,stop it,stop,stop
7294,clint barton,hero,avengers: age of ultron,we got a window four three give 'em hell,got window four three give 'em hell,got window four three give 'em hell
7295,natasha romanoff,hero,avengers: age of ultron,i'm always picking up after you boys,i'm always picking boys,i'm alway pick boy
7296,clint barton,hero,avengers: age of ultron,they're heading under the overpass i've got no shot,they're heading overpass i've got shot,they'r head overpass i'v got shot
7297,natasha romanoff,hero,avengers: age of ultron,which way,way,way
7298,clint barton,hero,avengers: age of ultron,hard right now,hard right,hard right
7299,natasha romanoff,hero,avengers: age of ultron,out of the way coming through sorry coming through,way coming sorry coming,way come sorri come
7300,steve rogers,hero,avengers: age of ultron,come on,come,come
7301,natasha romanoff,hero,avengers: age of ultron,clint can you draw out the guards,clint draw guards,clint draw guard
7302,clint barton,hero,avengers: age of ultron,let's find out,let's find,let' find
7303,natasha romanoff,hero,avengers: age of ultron,beep beep,beep beep,beep beep
7304,clint barton,hero,avengers: age of ultron,heading back towards you so whatever you're going to do do it now,heading back towards whatever going,head back toward whatev go
7305,natasha romanoff,hero,avengers: age of ultron,i'm going in cap can you keep him occupied,i'm going cap keep occupied,i'm go cap keep occupi
7306,steve rogers,hero,avengers: age of ultron,what do you think i've been doing,think i've,think i'v
7307,clint barton,hero,avengers: age of ultron,the package is airborne i have a clean shot,package airborne clean shot,packag airborn clean shot
7308,natasha romanoff,hero,avengers: age of ultron,negative i am still in the truck,negative still truck,neg still truck
7309,clint barton,hero,avengers: age of ultron,what the hell are you,hell,hell
7310,natasha romanoff,hero,avengers: age of ultron,just be ready i'm sending the package to you,ready i'm sending package,readi i'm send packag
7311,clint barton,hero,avengers: age of ultron,how do you want me to take it,want take,want take
7312,natasha romanoff,hero,avengers: age of ultron,uhh you might wish you hadn't asked that,uhh might wish asked,uhh might wish ask
7313,ultron,villain,avengers: age of ultron,please don't do this,please,pleas
7314,wanda maximoff,hero,avengers: age of ultron,what choice do we have,choice,choic
7315,steve rogers,hero,avengers: age of ultron,i lost him he's headed your way,lost he's headed way,lost he' head way
7316,clint barton,hero,avengers: age of ultron,nat we gotta go nat cap you see nat,nat gotta go nat cap see nat,nat gotta go nat cap see nat
7317,steve rogers,hero,avengers: age of ultron,if you have the package get it to stark go,package get stark go,packag get stark go
7318,clint barton,hero,avengers: age of ultron,do you have eyes on nat,eyes nat,eye nat
7319,steve rogers,hero,avengers: age of ultron,go civilians in our path can you stop this thing,go civilians path stop thing,go civilian path stop thing
7321,steve rogers,hero,avengers: age of ultron,i'm very tempted not to give you one,i'm tempted give one,i'm tempt give one
7322,wanda maximoff,hero,avengers: age of ultron,the cradle did you get it,cradle get,cradl get
7323,steve rogers,hero,avengers: age of ultron,stark will take care of it,stark take care,stark take care
7324,wanda maximoff,hero,avengers: age of ultron,no he won't,,
7325,steve rogers,hero,avengers: age of ultron,you don't know what you're talking about stark's not crazy,know talking stark's crazy,know talk stark' crazi
7326,wanda maximoff,hero,avengers: age of ultron,he will do anything to make things right,anything make things right,anyth make thing right
7327,steve rogers,hero,avengers: age of ultron,stark come in stark anyone on comms,stark come stark anyone comms,stark come stark anyon comm
7328,wanda maximoff,hero,avengers: age of ultron,ultron can't tell the difference between saving the world and destroying it where do you think he gets that,ultron can't tell difference saving world destroying think gets,ultron can't tell differ save world destroy think get
7329,bruce banner,hero,avengers: age of ultron,anything on nat,anything nat,anyth nat
7330,tony stark,hero,avengers: age of ultron,haven't heard but she's alive or ultron'd be rubbing our faces in it,heard alive ultron'd rubbing faces,heard aliv ultron'd rub face
7331,clint barton,hero,avengers: age of ultron,this is sealed tight,sealed tight,seal tight
7332,bruce banner,hero,avengers: age of ultron,we're going to need to access the program break it down from within,we're going need access program break within,we'r go need access program break within
7333,tony stark,hero,avengers: age of ultron,hm any chance natasha might leave you a message outside the internet old school spy stuff,hm chance natasha might leave message outside internet old school spy stuff,hm chanc natasha might leav messag outsid internet old school spi stuff
7334,clint barton,hero,avengers: age of ultron,there's some nets i can cast yeah alright i'll find her,there's nets cast yeah alright i'll find,there' net cast yeah alright i'll find
7335,bruce banner,hero,avengers: age of ultron,i can work on tissue degeneration if you can fry whatever operational system cho implanted,work tissue degeneration fry whatever operational system cho implanted,work tissu degener fri whatev oper system cho implant
7336,tony stark,hero,avengers: age of ultron,yeah about that,yeah,yeah
7337,bruce banner,hero,avengers: age of ultron,no,,
7338,tony stark,hero,avengers: age of ultron,you have to trust me,trust,trust
7339,bruce banner,hero,avengers: age of ultron,kinda don't,kinda,kinda
7340,tony stark,hero,avengers: age of ultron,our ally the guy protecting the military's nuclear codes i found him,ally guy protecting military's nuclear codes found,alli guy protect military' nuclear code found
7342,tony stark,hero,avengers: age of ultron,ultron didn't go after jarvis cause he was angry he attacked him because he was scared of what he can do so jarvis went underground okay scattered dumped his memory but not his protocols he didn't even know he was in there until i pieced him together,ultron go jarvis cause angry attacked scared jarvis went underground okay scattered dumped memory protocols even know pieced together,ultron go jarvi caus angri attack scare jarvi went underground okay scatter dump memori protocol even know piec togeth
7343,bruce banner,hero,avengers: age of ultron,so you want me to help you put jarvis into this thing,want help put jarvis thing,want help put jarvi thing
7344,tony stark,hero,avengers: age of ultron,no of course not i want to help you put jarvis in this thing we're out of my field here you know bio organics better than anyone,course want help put jarvis thing we're field know bio organics better anyone,cours want help put jarvi thing we'r field know bio organ better anyon
7345,bruce banner,hero,avengers: age of ultron,and you just assume that jarvis' operational matrix can beat ultron's,assume jarvis' operational matrix beat ultron's,assum jarvis' oper matrix beat ultron'
7346,tony stark,hero,avengers: age of ultron,jarvis has been beating him from inside without knowing it this is the opportunity we can create ultron's perfect self without the homicidal glitches he thinks are his winning personality we have to,jarvis beating inside without knowing opportunity create ultron's perfect self without homicidal glitches thinks winning personality,jarvi beat insid without know opportun creat ultron' perfect self without homicid glitch think win person
7348,bruce banner,hero,avengers: age of ultron,no i'm in a loop i'm caught in a time loop this is exactly where it all went wrong,i'm loop i'm caught time loop exactly went wrong,i'm loop i'm caught time loop exactli went wrong
7349,tony stark,hero,avengers: age of ultron,i know i know i know what everyone's going to say but they're already saying it we're mad scientists we're monsters buddy you gotta own it make a stand it's not a loop it's the end of the line,know know know everyone's going say they're already saying we're mad scientists we're monsters buddy gotta make stand loop end line,know know know everyone' go say they'r alreadi say we'r mad scientist we'r monster buddi gotta make stand loop end line
7350,ultron,villain,avengers: age of ultron,i wasn't sure you'd wake up i hoped you would i wanted to show you something i don't have anyone else i think a lot about meteors the purity of them boom the end start again the world made clean for the new man to rebuild i was meant to be new i was meant to be beautiful the world would've looked to the sky and seen hope seen mercy instead they'll look up in horror because of you you've wounded me i give you full marks for that but like the man said what doesn't kill me just makes me stronger,sure wake hoped would wanted show something anyone else think lot meteors purity boom end start world made clean new man rebuild meant new meant beautiful world would've looked sky seen hope seen mercy instead they'll look horror wounded give full marks like man said kill makes stronger,sure wake hope would want show someth anyon els think lot meteor puriti boom end start world made clean new man rebuild meant new meant beauti world would'v look sky seen hope seen merci instead they'll look horror wound give full mark like man said kill make stronger
7351,tony stark,hero,avengers: age of ultron,this framework is not compatible,framework compatible,framework compat
7352,bruce banner,hero,avengers: age of ultron,the genetic coding tower's at ninety seven percent you have got to upload that schematic in the next three minutes,genetic coding tower's ninety seven percent got upload schematic next three minutes,genet code tower' nineti seven percent got upload schemat next three minut
7353,steve rogers,hero,avengers: age of ultron,i'm gonna say this once,i'm gonna say,i'm gonna say
7354,tony stark,hero,avengers: age of ultron,how about nonce,nonce,nonc
7355,steve rogers,hero,avengers: age of ultron,shut it down,shut,shut
7356,tony stark,hero,avengers: age of ultron,nope not gonna happen,nope gonna happen,nope gonna happen
7357,steve rogers,hero,avengers: age of ultron,you don't know what you're doing,know,know
7358,bruce banner,hero,avengers: age of ultron,and you do she's not in your head,head,head
7359,wanda maximoff,hero,avengers: age of ultron,i know you're angry,know angry,know angri
7360,bruce banner,hero,avengers: age of ultron,oh we're way past that i could choke the life out of you and never change a shade,oh we're way past could choke life never change shade,oh we'r way past could choke life never chang shade
7361,steve rogers,hero,avengers: age of ultron,banner after everything that's happened,banner everything that's happened,banner everyth that' happen
7362,tony stark,hero,avengers: age of ultron,that's nothing compared to what's coming,that's nothing compared what's coming,that' noth compar what' come
7363,wanda maximoff,hero,avengers: age of ultron,you don't know what's in there,know what's,know what'
7364,steve rogers,hero,avengers: age of ultron,this isn't a game,game,game
7365,wanda maximoff,hero,avengers: age of ultron,the creature,creature,creatur
7367,wanda maximoff,hero,avengers: age of ultron,pietro,pietro,pietro
7368,clint barton,hero,avengers: age of ultron,what you didn't see that coming,see coming,see come
7369,bruce banner,hero,avengers: age of ultron,go ahead piss me off wait,go ahead piss wait,go ahead piss wait
7370,vision,hero,avengers: age of ultron,i'm sorry that was odd thank you,i'm sorry odd thank,i'm sorri odd thank
7371,steve rogers,hero,avengers: age of ultron,thor you helped create this,thor helped create,thor help creat
7373,bruce banner,hero,avengers: age of ultron,what the gem,gem,gem
7375,steve rogers,hero,avengers: age of ultron,then why would you bring it to,would bring,would bring
7377,bruce banner,hero,avengers: age of ultron,oh it's definitely the end times,oh definitely end times,oh definit end time
7379,vision,hero,avengers: age of ultron,not alone,alone,alon
7380,steve rogers,hero,avengers: age of ultron,why does your vision sound like jarvis,vision sound like jarvis,vision sound like jarvi
7381,tony stark,hero,avengers: age of ultron,we we reconfigured jarvis' matrix to create something new,reconfigured jarvis' matrix create something new,reconfigur jarvis' matrix creat someth new
7382,steve rogers,hero,avengers: age of ultron,i think i've had my fill of new,think i've fill new,think i'v fill new
7383,vision,hero,avengers: age of ultron,you think i'm a child of ultron,think i'm child ultron,think i'm child ultron
7384,steve rogers,hero,avengers: age of ultron,you're not,,
7385,vision,hero,avengers: age of ultron,i'm not ultron i'm not jarvis i am i am,i'm ultron i'm jarvis,i'm ultron i'm jarvi
7386,wanda maximoff,hero,avengers: age of ultron,i looked in your head and saw annihilation,looked head saw annihilation,look head saw annihil
7387,vision,hero,avengers: age of ultron,look again,look,look
7388,clint barton,hero,avengers: age of ultron,yeah her seal of approval means jack to me,yeah seal approval means jack,yeah seal approv mean jack
7390,steve rogers,hero,avengers: age of ultron,is it are you on our side,side,side
7391,vision,hero,avengers: age of ultron,i don't think it's that simple,think simple,think simpl
7392,clint barton,hero,avengers: age of ultron,well it better get real simple real soon,well better get real simple real soon,well better get real simpl real soon
7393,vision,hero,avengers: age of ultron,i am on the side of life ultron isn't he will end it all,side life ultron end,side life ultron end
7394,tony stark,hero,avengers: age of ultron,what's he waiting for,what's waiting,what' wait
7395,vision,hero,avengers: age of ultron,you,,
7396,bruce banner,hero,avengers: age of ultron,where,,
7397,clint barton,hero,avengers: age of ultron,sokovia he's got nat there too,sokovia he's got nat,sokovia he' got nat
7398,bruce banner,hero,avengers: age of ultron,if we're wrong about you if you're the monster that ultron made you to be,we're wrong monster ultron made,we'r wrong monster ultron made
7399,vision,hero,avengers: age of ultron,what will you do i don't want to kill ultron he's unique and he's in pain but that pain will roll over the earth so he must be destroyed every form he's built every trace of his presence on the net we have to act now and not one of us can do it without the others maybe i am a monster i don't think i'd know if i were one i'm not what you are and not what you intended so there may be no way to make you trust me but we need to go,want kill ultron he's unique he's pain pain roll earth must destroyed every form he's built every trace presence net act one us without others maybe monster think i'd know one i'm intended may way make trust need go,want kill ultron he' uniqu he' pain pain roll earth must destroy everi form he' built everi trace presenc net act one us without other mayb monster think i'd know one i'm intend may way make trust need go
7401,steve rogers,hero,avengers: age of ultron,three minutes get what you need,three minutes get need,three minut get need
7403,tony stark,hero,avengers: age of ultron,no way we all get through this if even one tin soldier is left standing we've lost it's gonna be blood on the floor,way get even one tin soldier left standing we've lost gonna blood floor,way get even one tin soldier left stand we'v lost gonna blood floor
7404,steve rogers,hero,avengers: age of ultron,i got no plans tomorrow night,got plans tomorrow night,got plan tomorrow night
7405,tony stark,hero,avengers: age of ultron,i get first crack at the big guy iron man's the one he's waiting for,get first crack big guy iron man's one he's waiting,get first crack big guy iron man' one he' wait
7406,vision,hero,avengers: age of ultron,that's true he hates you the most,that's true hates,that' true hate
7407,steve rogers,hero,avengers: age of ultron,ultron knows we're coming odds are we'll be riding into heavy fire and that's what we signed up for but the people of sokovia they didn't so our priority is getting them out,ultron knows we're coming odds we'll riding heavy fire that's signed people sokovia priority getting,ultron know we'r come odd we'll ride heavi fire that' sign peopl sokovia prioriti get
7409,steve rogers,hero,avengers: age of ultron,all they want is to live their lives in peace and that's not going to happen today but we can do our best to protect them and we can get the job done and find out what ultron's been building we find romanoff and we clear the field keep the fight between us ultron thinks we're monsters and we're what's wrong with the world this isn't just about beating him it's about whether he's right,want live lives peace that's going happen today best protect get job done find ultron's building find romanoff clear field keep fight us ultron thinks we're monsters we're what's wrong world beating whether he's right,want live live peac that' go happen today best protect get job done find ultron' build find romanoff clear field keep fight us ultron think we'r monster we'r what' wrong world beat whether he' right
7410,bruce banner,hero,avengers: age of ultron,natasha natasha,natasha natasha,natasha natasha
7411,natasha romanoff,hero,avengers: age of ultron,bruce,bruce,bruce
7412,bruce banner,hero,avengers: age of ultron,you alright,alright,alright
7413,natasha romanoff,hero,avengers: age of ultron,yeah,yeah,yeah
7414,bruce banner,hero,avengers: age of ultron,the team's in the city it's about to light up,team's city light,team' citi light
7415,natasha romanoff,hero,avengers: age of ultron,i don't suppose you found a key lying around somewhere,suppose found key lying around somewhere,suppos found key lie around somewher
7416,bruce banner,hero,avengers: age of ultron,yeah i did,yeah,yeah
7417,natasha romanoff,hero,avengers: age of ultron,so what's our play,what's play,what' play
7418,bruce banner,hero,avengers: age of ultron,i'm here to get you to safety,i'm get safety,i'm get safeti
7419,natasha romanoff,hero,avengers: age of ultron,job's not finished,job's finished,job' finish
7420,bruce banner,hero,avengers: age of ultron,we could help with the evacuation but i can't be in a fight near civilians and you've done plenty our fight is over,could help evacuation can't fight near civilians done plenty fight,could help evacu can't fight near civilian done plenti fight
7421,natasha romanoff,hero,avengers: age of ultron,so we just disappear,disappear,disappear
7423,ultron,villain,avengers: age of ultron,come to confess your sins,come confess sins,come confess sin
7424,tony stark,hero,avengers: age of ultron,i don't know how much time you got,know much time got,know much time got
7425,ultron,villain,avengers: age of ultron,more than you,,
7426,tony stark,hero,avengers: age of ultron,uhhh have you been juicing a little vibranium cocktail you're looking i don't wanna say puffy,uhhh juicing little vibranium cocktail looking wanna say puffy,uhhh juic littl vibranium cocktail look wanna say puffi
7427,ultron,villain,avengers: age of ultron,you're stalling to protect the people,stalling protect people,stall protect peopl
7428,tony stark,hero,avengers: age of ultron,well that is the mission did you forget,well mission forget,well mission forget
7429,ultron,villain,avengers: age of ultron,i've moved beyond your mission i'm free what you think you're the only one stalling,i've moved beyond mission i'm free think one stalling,i'v move beyond mission i'm free think one stall
7431,ultron,villain,avengers: age of ultron,this is how you end tony this is peace in my time,end tony peace time,end toni peac time
7432,steve rogers,hero,avengers: age of ultron,go,go,go
7433,wanda maximoff,hero,avengers: age of ultron,get off the bridge run,get bridge run,get bridg run
7434,vision,hero,avengers: age of ultron,ultron,ultron,ultron
7435,ultron,villain,avengers: age of ultron,my vision they really did take everything from me,vision really take everything,vision realli take everyth
7436,vision,hero,avengers: age of ultron,you set the terms you can change them,set terms change,set term chang
7437,ultron,villain,avengers: age of ultron,alright,alright,alright
7438,tony stark,hero,avengers: age of ultron,friday the vision,friday vision,friday vision
7440,ultron,villain,avengers: age of ultron,you shut me out you think i care you take away my world i take away yours,shut think care take away world take away,shut think care take away world take away
7441,tony stark,hero,avengers: age of ultron,friday,friday,friday
7443,ultron,villain,avengers: age of ultron,do you see the beauty of it the inevitability you rise only to fall you avengers you are my meteor my swift and terrible sword and the earth will crack with the weight of your failure purge me from your computers turn my own flesh against me it means nothing when the dust settles the only thing living in this world will be metal,see beauty inevitability rise fall avengers meteor swift terrible sword earth crack weight failure purge computers turn flesh means nothing dust settles thing living world metal,see beauti inevit rise fall aveng meteor swift terribl sword earth crack weight failur purg comput turn flesh mean noth dust settl thing live world metal
7444,bruce banner,hero,avengers: age of ultron,we gotta move,gotta move,gotta move
7445,natasha romanoff,hero,avengers: age of ultron,you're not going to turn green,going turn green,go turn green
7446,bruce banner,hero,avengers: age of ultron,i've got a compelling reason not to lose my cool,i've got compelling reason lose cool,i'v got compel reason lose cool
7447,natasha romanoff,hero,avengers: age of ultron,i adore you but i need the other guy let's finish the job i really hope this makes us even now go be a hero,adore need guy let's finish job really hope makes us even go hero,ador need guy let' finish job realli hope make us even go hero
7449,tony stark,hero,avengers: age of ultron,if it drops,drops,drop
7451,tony stark,hero,avengers: age of ultron,hi okay get in the tub,hi okay get tub,hi okay get tub
7453,tony stark,hero,avengers: age of ultron,cap you got incoming,cap got incoming,cap got incom
7454,steve rogers,hero,avengers: age of ultron,incoming already came in stark you worry about bringing the city back down safely the rest of us have one job tear these things apart you get hurt hurt 'em back you get killed walk it off,incoming already came stark worry bringing city back safely rest us one job tear things apart get hurt hurt 'em back get killed walk,incom alreadi came stark worri bring citi back safe rest us one job tear thing apart get hurt hurt 'em back get kill walk
7455,clint barton,hero,avengers: age of ultron,go go move,go go move,go go move
7456,wanda maximoff,hero,avengers: age of ultron,how could i let this happen,could let happen,could let happen
7457,clint barton,hero,avengers: age of ultron,hey hey you okay,hey hey okay,hey hey okay
7458,wanda maximoff,hero,avengers: age of ultron,this is all our fault,fault,fault
7459,clint barton,hero,avengers: age of ultron,hey look at me it's your fault it's everyone's fault who cares are you up for this are you look i just need to know cause the city is flying okay look the city is flying we're fighting an army of robots and i have a bow and arrow none of this makes sense but i'm going back out there because it's my job okay and i can't do my job and babysit it doesn't matter what you did or what you were if you go out there you fight and you fight to kill stay in here you're good i'll send your brother to come find you but if you step out that door you are an avenger alright good chat yeah the city is flying,hey look fault everyone's fault cares look need know cause city flying okay look city flying we're fighting army robots bow arrow none makes sense i'm going back job okay can't job babysit matter go fight fight kill stay good i'll send brother come find step door avenger alright good chat yeah city flying,hey look fault everyone' fault care look need know caus citi fli okay look citi fli we'r fight armi robot bow arrow none make sens i'm go back job okay can't job babysit matter go fight fight kill stay good i'll send brother come find step door aveng alright good chat yeah citi fli
7460,steve rogers,hero,avengers: age of ultron,i got you just look at me,got look,got look
7461,ultron,villain,avengers: age of ultron,you can't save them all you'll never,can't save never,can't save never
7462,steve rogers,hero,avengers: age of ultron,you'll never what you didn't finish what were you napping,never finish napping,never finish nap
7463,ultron,villain,avengers: age of ultron,thor you're bothering me,thor bothering,thor bother
7464,clint barton,hero,avengers: age of ultron,alright we're all clear here,alright we're clear,alright we'r clear
7465,steve rogers,hero,avengers: age of ultron,we are not clear we are very not clear,clear clear,clear clear
7466,clint barton,hero,avengers: age of ultron,alright coming to you,alright coming,alright come
7468,clint barton,hero,avengers: age of ultron,nobody would know nobody the last i saw him when ultron was sitting on him uh yeah he'll be missed that quick little bastard i miss him already,nobody would know nobody last saw ultron sitting uh yeah he'll missed quick little bastard miss already,nobodi would know nobodi last saw ultron sit uh yeah he'll miss quick littl bastard miss alreadi
7469,steve rogers,hero,avengers: age of ultron,romanoff,romanoff,romanoff
7470,natasha romanoff,hero,avengers: age of ultron,thanks,thanks,thank
7472,tony stark,hero,avengers: age of ultron,the spire's vibranium if i get thor to hit it,spire's vibranium get thor hit,spire' vibranium get thor hit
7474,tony stark,hero,avengers: age of ultron,maybe if we cap the other end keep the atomic action doubling back,maybe cap end keep atomic action doubling back,mayb cap end keep atom action doubl back
7476,steve rogers,hero,avengers: age of ultron,the next wave's gonna hit any minute what have you got stark,next wave's gonna hit minute got stark,next wave' gonna hit minut got stark
7477,tony stark,hero,avengers: age of ultron,well nothing great maybe a way to blow up the city that'll keep it from impacting the surface if you guys can get clear,well nothing great maybe way blow city keep impacting surface guys get clear,well noth great mayb way blow citi keep impact surfac guy get clear
7478,steve rogers,hero,avengers: age of ultron,i asked for a solution not an escape plan,asked solution escape plan,ask solut escap plan
7479,tony stark,hero,avengers: age of ultron,impact radius is getting bigger every second we're going to have to make a choice,impact radius getting bigger every second we're going make choice,impact radiu get bigger everi second we'r go make choic
7480,natasha romanoff,hero,avengers: age of ultron,cap these people are going nowhere if stark finds a way to blow this rock,cap people going nowhere stark finds way blow rock,cap peopl go nowher stark find way blow rock
7481,steve rogers,hero,avengers: age of ultron,not 'til everyone's safe,'til everyone's safe,'til everyone' safe
7482,natasha romanoff,hero,avengers: age of ultron,everyone up here versus everyone down there there's no math there,everyone versus everyone there's math,everyon versu everyon there' math
7483,steve rogers,hero,avengers: age of ultron,i'm not leaving this rock with one civilian on it,i'm leaving rock one civilian,i'm leav rock one civilian
7484,natasha romanoff,hero,avengers: age of ultron,i didn't say we should leave there's worse ways to go where else am i gonna get a view like this,say leave there's worse ways go else gonna get view like,say leav there' wors way go els gonna get view like
7486,steve rogers,hero,avengers: age of ultron,fury you son of a bitch,fury son bitch,furi son bitch
7491,steve rogers,hero,avengers: age of ultron,this is what shield's supposed to be,shield's supposed,shield' suppos
7493,steve rogers,hero,avengers: age of ultron,let's load 'em up,let's load 'em,let' load 'em
7497,james rhodes,hero,avengers: age of ultron,yes now this is gonna be a good story,yes gonna good story,ye gonna good stori
7498,tony stark,hero,avengers: age of ultron,yep if you live to tell it,yep live tell,yep live tell
7499,james rhodes,hero,avengers: age of ultron,you think i can't hold my own,think can't hold,think can't hold
7500,tony stark,hero,avengers: age of ultron,we get through this i'll hold your own,get i'll hold,get i'll hold
7501,james rhodes,hero,avengers: age of ultron,you had to make it weird,make weird,make weird
7502,clint barton,hero,avengers: age of ultron,alright let's load 'em up alright here we go here we go let's move let's go everyone,alright let's load 'em alright go go let's move let's go everyone,alright let' load 'em alright go go let' move let' go everyon
7506,ultron,villain,avengers: age of ultron,you think you're saving anyone i turn that key and drop this rock a little early and it's still billions dead even you can't stop that,think saving anyone turn key drop rock little early still billions dead even can't stop,think save anyon turn key drop rock littl earli still billion dead even can't stop
7508,vision,hero,avengers: age of ultron,it's terribly well balanced,terribly well balanced,terribl well balanc
7510,tony stark,hero,avengers: age of ultron,i got it create a heat seal i can i can supercharge the spire from below,got create heat seal supercharge spire,got creat heat seal supercharg spire
7512,tony stark,hero,avengers: age of ultron,thor i got a plan,thor got plan,thor got plan
7514,tony stark,hero,avengers: age of ultron,rhodey get the rest of the people on board that carrier,rhodey get rest people board carrier,rhodey get rest peopl board carrier
7515,james rhodes,hero,avengers: age of ultron,on it,,
7516,tony stark,hero,avengers: age of ultron,avengers time to work for a living,avengers time work living,aveng time work live
7518,wanda maximoff,hero,avengers: age of ultron,yeah,yeah,yeah
7519,tony stark,hero,avengers: age of ultron,romanoff you and banner better not be playing hide the zucchini,romanoff banner better playing hide zucchini,romanoff banner better play hide zucchini
7520,natasha romanoff,hero,avengers: age of ultron,relax shell head not all of us can fly what's the drill,relax shell head us fly what's drill,relax shell head us fli what' drill
7521,tony stark,hero,avengers: age of ultron,this is the drill if ultron gets a hand on the core we lose,drill ultron gets hand core lose,drill ultron get hand core lose
7523,steve rogers,hero,avengers: age of ultron,you had to ask,ask,ask
7524,ultron,villain,avengers: age of ultron,this is the best i can do this is exactly what i wanted all of you against all of me how could you possibly hope to stop me,best exactly wanted could possibly hope stop,best exactli want could possibl hope stop
7525,tony stark,hero,avengers: age of ultron,well like the old man said together,well like old man said together,well like old man said togeth
7526,ultron,villain,avengers: age of ultron,you know with the benefit of hindsight,know benefit hindsight,know benefit hindsight
7528,tony stark,hero,avengers: age of ultron,we can't let 'em not even one rhodey,can't let 'em even one rhodey,can't let 'em even one rhodey
7529,james rhodes,hero,avengers: age of ultron,i'm on it oh no i didn't say you could leave war machine comin' at you right okay what,i'm oh say could leave war machine comin' right okay,i'm oh say could leav war machin comin' right okay
7530,steve rogers,hero,avengers: age of ultron,we gotta move out even i can tell the air is getting thin you guys get to the boats i'll sweep for stragglers be right behind you,gotta move even tell air getting thin guys get boats i'll sweep stragglers right behind,gotta move even tell air get thin guy get boat i'll sweep straggler right behind
7531,clint barton,hero,avengers: age of ultron,what about the core,core,core
7532,wanda maximoff,hero,avengers: age of ultron,i'll protect it it's my job get the people on the boats,i'll protect job get people boats,i'll protect job get peopl boat
7534,wanda maximoff,hero,avengers: age of ultron,i can handle this come back for me when everyone else is off not before,handle come back everyone else,handl come back everyon els
7536,wanda maximoff,hero,avengers: age of ultron,you understand,understand,understand
7538,wanda maximoff,hero,avengers: age of ultron,go,go,go
7540,tony stark,hero,avengers: age of ultron,re route everything we get one shot at this,route everything get one shot,rout everyth get one shot
7541,clint barton,hero,avengers: age of ultron,i know what i need to do the dining room if i knock out that east wall it'll make a nice work space for laura huh put up some baffling she can't hear the kids running around what do you think,know need dining room knock east wall it'll make nice work space laura huh put baffling can't hear kids running around think,know need dine room knock east wall it'll make nice work space laura huh put baffl can't hear kid run around think
7542,natasha romanoff,hero,avengers: age of ultron,you guys always eat in the kitchen anyway,guys always eat kitchen anyway,guy alway eat kitchen anyway
7543,clint barton,hero,avengers: age of ultron,no one eats in a dining room we don't have a lot of time,one eats dining room lot time,one eat dine room lot time
7544,natasha romanoff,hero,avengers: age of ultron,so get your ass on a boat hey big guy sun's getting real low,get ass boat hey big guy sun's getting real low,get ass boat hey big guy sun' get real low
7546,tony stark,hero,avengers: age of ultron,thor i'm gonna need you back in the church,thor i'm gonna need back church,thor i'm gonna need back church
7548,steve rogers,hero,avengers: age of ultron,yeah everyone else is on the carrier,yeah everyone else carrier,yeah everyon els carrier
7549,tony stark,hero,avengers: age of ultron,you know if this works we maybe don't walk away,know works maybe walk away,know work mayb walk away
7551,ultron,villain,avengers: age of ultron,i got no strings so i have fun i'm not tied up to anyone,got strings fun i'm tied anyone,got string fun i'm tie anyon
7553,ultron,villain,avengers: age of ultron,oh for god's sake,oh god's sake,oh god' sake
7554,clint barton,hero,avengers: age of ultron,no no i'm fine oh it's been a long day,i'm fine oh long day,i'm fine oh long day
7555,ultron,villain,avengers: age of ultron,wanda if you stay here you'll die,wanda stay die,wanda stay die
7556,wanda maximoff,hero,avengers: age of ultron,i just did do you know how it felt it felt like that,know felt felt like,know felt felt like
7557,tony stark,hero,avengers: age of ultron,thor on my mark now,thor mark,thor mark
